Awk,awk
Bash,sh
Brainfuck,bf
C,c
C#,cs
C++,cpp
C++14,cpp
Ceylon,ceylon
Clojure,clj
COBOL,cob
Common Lisp,lisp
Crystal,cr
D,d
F#,fs
Fortran,f
Go,go
Haskell,hs
Java7,java
Java8,java
JavaScript,js
Julia,jl
Kotlin,kt
Kuin,kn
Lua,lua
LuaJIT,lua
MoonScript,moon
Nim,nim
Objective-C,m
OCaml,ml
Octave,m
Pascal,pas
Perl,pl
Perl6,p6
PHP,php
PHP7,php
PyPy2,py
PyPy3,py
Python2,py
Python3,py
Ruby,rb
Rust,rs
Scala,scala
Scheme,scm
Sed,sed
Standard ML,sml
Swift,swift
Text,txt
TypeScript,ts
Unlambda,unl
Visual Basic,vb
